               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11604,            0.028713,            0.046275,            0.019267,            0.016244,           0.0015787,          0.00020292,            0.096281,            0.023566,            0.040326,             0.00021,             0.00021,             0.09811
                   1,            0.090267,             0.03193,            0.034239,             0.60274,             0.15134,            0.089249,            0.027239,            0.072586,            0.024934,            0.029867,           0.0004299,           0.0004299,             0.09613
                   2,            0.068552,            0.033892,            0.028231,             0.88023,             0.14815,             0.16154,             0.03422,            0.058446,            0.023208,            0.024967,          0.00064942,          0.00064942,            0.094149
                   3,            0.059814,            0.030692,            0.024258,             0.26041,             0.33493,             0.25536,            0.086915,            0.056199,            0.019145,            0.020494,          0.00086826,          0.00086826,            0.092168
                   4,            0.058616,              0.0235,            0.019634,             0.31959,             0.55469,             0.34923,             0.10283,            0.057115,            0.016263,            0.015733,           0.0010861,           0.0010861,            0.090186
                   5,            0.057825,            0.022022,            0.016513,             0.56141,             0.57108,             0.51477,             0.21337,            0.057329,            0.014309,            0.012212,           0.0013027,           0.0013027,            0.088203
                   6,            0.056064,            0.019475,            0.012943,             0.48849,             0.73823,             0.61678,             0.27878,            0.045911,            0.012811,           0.0096259,           0.0015178,           0.0015178,            0.086218
                   7,            0.055463,            0.018199,             0.01104,             0.62902,             0.71148,             0.69656,             0.30956,            0.046888,            0.011632,           0.0071564,            0.001731,            0.001731,            0.084231
                   8,            0.053225,            0.016932,           0.0085463,             0.59113,             0.70146,             0.70574,             0.29652,            0.043704,            0.010259,            0.005451,           0.0019421,           0.0019421,            0.082242
                   9,            0.050905,            0.016087,           0.0072063,             0.68629,             0.74978,             0.74013,             0.31518,              0.0397,            0.010245,           0.0047812,           0.0021509,           0.0021509,            0.080251
                  10,            0.049106,            0.014628,           0.0063278,              0.8158,             0.73251,             0.81975,             0.37768,            0.041609,           0.0088605,           0.0039473,           0.0023569,           0.0023569,            0.078257
                  11,            0.047377,            0.013784,           0.0054505,             0.51944,             0.81423,             0.73201,             0.29873,            0.046001,           0.0083841,           0.0035962,             0.00256,             0.00256,             0.07626
                  12,            0.044974,            0.013319,           0.0050199,             0.68408,             0.85579,             0.82565,             0.37609,            0.042495,           0.0079715,           0.0030697,           0.0027599,           0.0027599,             0.07426
                  13,            0.044227,            0.012354,           0.0045109,             0.79468,             0.80137,             0.86572,             0.43777,            0.036499,           0.0075513,           0.0030144,           0.0029564,           0.0029564,            0.072256
                  14,            0.043114,            0.012671,           0.0045163,             0.73053,             0.89706,             0.78615,             0.41724,            0.037938,           0.0074378,           0.0030152,           0.0031491,           0.0031491,            0.070249
                  15,            0.042452,            0.012298,           0.0041892,             0.71682,             0.87986,              0.7974,             0.40401,            0.037873,           0.0072277,           0.0027887,           0.0033378,           0.0033378,            0.068238
                  16,             0.04069,            0.011893,           0.0041069,             0.76618,             0.90101,             0.87089,             0.39003,            0.033431,           0.0070234,           0.0024541,           0.0035224,           0.0035224,            0.066222
                  17,            0.038429,            0.011604,           0.0037435,             0.92144,             0.86724,             0.93694,             0.49211,            0.032969,           0.0068838,           0.0023787,           0.0037025,           0.0037025,            0.064202
                  18,            0.038424,            0.011235,           0.0037623,             0.81768,             0.90406,             0.89919,             0.57399,            0.029121,           0.0067667,           0.0024202,           0.0038779,           0.0038779,            0.062178
